year,hour,questionNumber,questionText,answer,reasoning
2020,17,1,"When fictional television conspiracy theorist Wesley Winn's tickets to Blood or L.A. Nine, he gets himself and Gabby matching T-shirts. What is printed on those shirts?",Bloody Again,"Question stated as 'question one of our 17'. The question is asked but the answer is not provided in this transcript chunk. The question is about a fictional television show character named Wesley When and what would be printed on t-shirts. This appears to be incomplete as the answer segment is cut off. --- Question identified at 18:03:18 with clear pattern 'question one of our 17'. Answer given at 18:08:50 as 'Gabby and Wesley get bloody again' but the answer given at 18:09:20 is stated as 'Bloody Again'. The question is asked multiple times with slight variations in wording, and the answer is confirmed twice."
2020,17,2,"Three big screen physicians are invited to a home of one of their patients. They are murdered by the host, who, although seemingly to be paralyzed, is actually a quadruple amputee who has studied a strange theory of making limbs materialized long enough to murder these doctors. A female psychiatrist arrives at the same time as these doctors. What is the first and last name of this psychiatrist?",Lynn Harper,Question identified at 18:09:20 with pattern 'question two of our 17'. Answer given at 18:15:52 as 'Lynn Harper'. Question is repeated multiple times with consistent wording. Answer is confirmed twice at 18:15:52.
2020,17,3,"A groundbreaking TV drama which spawned a TV reunion movie and big screen flick, was one of TV's first attempts at dealing with the counterculture of the late 1960s and early 1970s. It combines the talents of a trio of detectives each were one time troublemakers, and we're also outside the mainstream. Their stature allowed them access to information and people which assisted their department in solving crimes. What is the name of this TV drama?",Mod Squad,Question identified at 18:17:23 with pattern 'question number three of our 17'. Answer given at 18:22:55 as 'Mod Squad'. Question is repeated multiple times with minor transcription variations ('sick fifties' should be 'sixties'). Answer is confirmed twice.
2020,17,4,"Animated big screen character Count Dracula claims that a special birthday present for his daughter, Mavis, was left by her late mother, Martha, and was not to be opened until Mavis turned a certain age. What was that age?",118,Question identified at 18:23:25 with pattern 'question four' of hour 17. Answer given at 18:29:57 as '118'. Question is repeated with consistent wording. This refers to the Hotel Transylvania film series.
2020,17,5,"A band's gold certified 1973 double live album recorded during an international tour includes a record sleeve featuring a full sized photo of the band. Behind them is an item which is used for transportation, according to the print on the side of it. What is the name of this transportation item?",Queen Mary,Question identified at 18:30:27 with pattern 'question five of our 17'. Answer given at 18:36:29 as 'Queen Mary'. Question is repeated multiple times. This likely refers to Led Zeppelin's 'The Song Remains the Same' album or similar classic rock album with a ship in the background.
2020,17,6,"A former NBA player and captain of a national championship winning NCAA men's basketball team was very artistically inclined and style conscious. He took fashion design classes outside of college with his coaches support and designed uniforms worn by the team during its championship season. What is the given first name, nickname and last name of this multitalented person?",Maurice Bo Ellis,Question identified at 18:36:59 with pattern 'question six'. Answer given at 18:43:31 as 'Maurice Bo Ellis'. Question is repeated with consistent wording. This refers to a basketball player who designed uniforms for his championship team.
2020,17,7,What is the first and last name of the successor of longtime television cruise director Julie McCoy?,Judy McCoy,"Question identified at 18:44:02 with pattern 'question seven'. Answer given at 18:49:33 as 'Judy McCoy'. Question is repeated. This refers to the Love Boat TV series. Note: The question initially asks about the successor, but the answer appears to be a different character with similar name. --- Transcription shows 'question seven of our 17' and 'The answer to question seven hour 17 is Judy McCoy'. Note: The question text has been corrected - the transcription says 'successor of longtime television crews director Julie McCoy' which appears to be asking about who succeeded Julie McCoy. The answer given is 'Judy McCoy'."
2020,17,8,It's amazing how talented animals have become recently. One seriously talented bear is seen holding a boom box while on roller skates and talking to a gentleman sitting on a park bench. What an amazing animal. What is the full name of the product being promoted in this commercial?,Stuffed Crazy Bread,Question identified at 18:49:33 with pattern 'question eight'. The question is read but no answer is provided in this transcript chunk. The song continues and the segment ends without providing an answer. --- Transcription shows 'question eight of our 17'. The answer is explicitly stated: 'The answer to question eight is Stuffed Crazy Bread' and repeated as 'The answer to question eight Stuffed Crazy Bread'.
2020,18,1,"When big screen character Donna Corman is remembered by her husband, he pictures her as she is reading a book near a pool while soaking in the sun. Although the movie is in full color, she appears in sepia. What is the name of the book she is reading?",The Other Side of Midnight,Transcription shows 'question one of our 18'. The answer is stated: 'The answer to question one is The Other Side of Midnight' and confirmed as 'The answer to question One Hour 18 is The Other Side of Midnight'.
2020,18,2,"Some people work their entire lives trying to achieve a happy retirement. Some people have had very bad luck. One fictional attorney, Diane Lockhart, worked hard during her career, and just as she was about to retire, she had some bad luck. According to television attorney Diane Lockhart, what is the first and last name of the first public defender in the city of Chicago?",Pearl Heart,Transcription shows 'question two of our 18'. The answer is stated: 'The answer to question to Pearl Heart' and confirmed as 'The answer to question To our 18 Pearl Heart'.
2020,18,3,"It's always encouraging when love takes over the minds of a couple. A romance was bolstered when one wants the other to lie with them and forget the world before getting old. The partner was asked to show a garden that is just starting to come to life. And there is no better way to share love than to waste time running around in their minds, like dogs going aimlessly after automobiles. What is the name of the Billboard number one hit song which tells of this romance?",Chasing Cars,Transcription shows 'question three of our 18'. The answer is explicitly stated: 'The answer to question three of our 18 is Chasing Cars' and confirmed as 'The answer to question Three hour 18 Chasing Cars'.
2020,18,4,"After uncorking, it is recommended to let the wine breathe before consuming. Not able to do that with a fine box wine. What is the brand of wine which uses the following trademark slogan in print ads: uncork extraordinary?",Santa Margherita,Transcription shows 'question four of our 18'. The answer is stated: 'The answer to question for Santa Margherita' and confirmed as 'The answer to question Four of our 18 Santa Margarita'. Note: Transcription appears inconsistent between 'Margherita' and 'Margarita' - both appear in the text.
2020,18,5,"Parents seldom expect their children to pay them back for money that they may have borrowed over time. Some children insist on paying them back. One fictional character, Coyote Bergstein, after getting a teaching job, decides to start paying his parents back. His father decides to cash the check, whereas his mother had different plans. What did she plan on doing with the check?",Decoupage,Transcription shows 'question five of our 18'. The answer is stated: 'The answer to question five is Decoupage' and repeated as 'The answer to Question five Dick you package' (phonetic transcription of 'decoupage'). --- The transcript clearly identifies this as 'question five of our 18' and provides the answer at 19:37:51 as 'decoupage' (transcribed as 'dick you package' but context makes it clear). The question is fully readable and answer is explicitly stated.
2020,18,6,What is the first and last name of the children's television character who once won a Miss Waffle House pageant?,Destiny Baker,"Transcription shows 'question six of our 18' and the question is read, but no answer is provided in this transcript chunk. The question reading is cut off mid-stream. --- Clearly marked as 'question six of our 18' at 19:38:21. The answer is given at 19:42:53 as 'Destiny Baker'. The question is about a children's TV character."
2020,18,7,What is the full name of the organization whose name appeared on the baseball cap worn by Aaron Rodgers while signing his rookie contract with the Green Bay Packers?,Sierra Nevada Brewing Company,Identified as 'question seven of our 18' at 19:42:53. Answer given at 19:48:25 as 'Sierra Nevada Brewing Company'. The transcript has heavy music interference but the question and answer are clear.
2020,18,8,What is the first and last name of the big screen character who claimed the following: I Am Big. It's the pictures that got small.,Norma Desmond,Marked as 'question eight of our 18' and 'final question of our 18' at 19:48:25. Answer provided at 19:55:57 as 'Norma Desmond'. This is the famous quote from the film Sunset Boulevard.
2020,19,1,"An animated musical film character was a nobody but quickly rose to the highest of heights. He was a brainy, spunky, obviously very physically fit conqueror and was held in high esteem, according to every survey of his countrymen and women. What is the name of this character?",Hercules,Identified as 'question one of our 19' at 20:01:29. Answer given at 20:07:01 as 'Hercules'. This describes the Disney animated film character Hercules.
2020,19,2,A 1960s singer formed a backup band named after a British film. They released a number one billboard hit as part of the British invasion. The leader of the band took his performing last name from that of a longtime Hall of Fame sideman for a pop music icon. What is the name of the band which backed up the singer?,Mind Benders,Marked as 'question two of our 19' at 20:07:31. Answer provided at 20:14:33 as 'Mind Benders'. The question has some transcription noise but is mostly readable.
2020,19,3,"What is the brand and name of the breakfast cereal, which is promoted in a television commercial with a young lad pouring the cereal into bowls on a rotating lazy Susan?",General Mills Honey Nut Cheerios,Identified as 'question number three of our 19' at 20:16:34. Answer given at 20:23:06 as 'General Mills Honey Nut Cheerios'. The question is clear despite surrounding music.
2020,19,4,"A number one hit single was covered in a very different manner on the debut album of a recording duo. The original version was written during the recording group's first professional writing session and recorded in 30 minutes. It was the first single released by the group. The official video was rejected by the record company, but the group refused to do it over. It takes place in a hotel. What is the name of this very successful recording group?",Spice Girls,Marked as 'question number four of our 19' at 20:23:36. Answer provided at 20:30:39 as 'Spice Girls'. The song is 'Wannabe' which was on their debut album. --- Clear question and answer pattern. Answer given at 20:30:39 as 'Spice Girls'. Question text reconstructed from multiple readings between 20:26:37 and 20:30:39.
2020,19,5,"When bandleader G. E. Smith needed musicians to replace a performer who was boycotting the show on which he worked, one of the acts Smith called up was a father and son duo from Wisconsin. What is the name of this Wisconsin performing group?",Sponich Boys,Identified as 'question number five hour 19' at the very end of the transcript (20:31:09). The question is cut off mid-sentence and no answer is provided in this chunk. The question text ends with 'What?' indicating it continues beyond the transcript provided. --- Question text appears multiple times starting at 20:31:09. Answer given at 20:37:41 as 'Sponich Boys' or 'Spanish Boys' - transcription unclear but answer is stated. Question marked for potential throwout by host due to submission button issues.
2020,19,6,"We have been treated to operas on a bus. A variety of singers, including a man with a horned hat, sing while riding the bus. The only person on the bus who seems to not be singing is the driver. What is the company which is being promoted in this operatic commercial?",J. G. Wentworth,"Question read multiple times from 20:38:11 onwards. Answer given at 20:44:43 as 'J. G. Wentworth'. This question was marked for throwout due to submission button technical issues, but answer is clearly stated."
2020,19,7,What is the nickname and last name of the then 15 year old tennis phenom who upset former multi Wimbledon champion Venus Williams in the opening round of the 2019 Wimbledon tournament?,Coco Gauff,Question read multiple times starting at 20:31:39. Answer given at 20:53:17 as 'Coco Gauff' (transcribed as 'Coco Golf'). This question was thrown out by host due to technical issues with submission button activation lag.
2020,19,8,What is the brand name of the trash bag which has been promoted in print advertising with the following: 'the first trash bag worthy of a smile'?,Glad Beachside Breeze,Question asked at 20:53:47. Answer given at 20:58:49 as 'Glad Beachside Breeze'. This question was thrown out by host due to technical issues where 77 people submitted Q7 answers to Q8 due to submission button lag.
2020,20,1,"Big screen character Harry Potter allows what appears to be a villain to escape by removing a belt which held in the villain. The villain is seen chomping, trying to get to Harry. Harry decides to use his shoe as bait to lure in the villain, jump on it and subdue it. What is the complete name of this villain?",The Monster Book of Monsters,Question text appears multiple times from 21:04:51 onwards. Answer given at 21:10:53 as 'The Monster Book of Monsters' (initially stated as 'the monster of Monsters' but corrected).
2020,20,2,Turn to picture number 10 on the experiment in trivia picture page. Take a look at the charming looking Santa type character carrying a bag of presents. It does look like she is using an ultra modern aircraft rather than a sleigh. She is featured in an ad for a tobacco product. What is the brand of cigarette promoted in this print ad?,Chesterfield,Question appears at 21:11:23 and is read again at 21:14:54. Song lyrics interrupt before the answer is given. Answer not found in this transcript chunk. --- This is a picture trivia question from hour 20. The question is read multiple times starting at 21:14:54 and the answer is given at 21:17:55. The host clarifies at 21:19:26 that the answer is 'Chesterfield' (not 'Chesterfield Picture' as initially noted).
2020,20,3,What is the name of the television sitcom which used the following as a subtitle? One Big Family for short stories,Life in Pieces,Question three of hour 20 is read starting at 21:19:56 and repeated at 21:22:57. The answer is provided at 21:25:28. The show 'Life in Pieces' used the subtitle 'One Big Family for short stories.'
2020,20,4,"Sometimes products are promoted with outlandish claims, but one company promoted its product by just getting down to business by telling us that this product would bring out the bold. What is the name of this product?",Listerine,Question four is read starting at 21:25:28 and repeated at 21:28:59 and 21:29:29. The answer is given at 21:32:00. Listerine's famous slogan was about bringing out the bold/confidence.
2020,20,5,What is the name of the marine research vessel owned by big screen character Milton Crest?,Wave Crest,Question five is read starting at 21:32:30 and repeated at 21:35:31. The answer is provided at 21:38:02. This is referring to the fictional research vessel from a movie or TV show featuring character Milton Crest.
2020,20,6,"Pets can have a big impact on their owners' lives. One such owner first met by the storyteller in a storied US city, while both were serving time, was a famous performer. The pet owner, though ragged in appearance, was nimble and light on his feet. He and his pet were very close as they crisscrossed part of the country together, so close that the owner broke down talking about him, obviously still torn up about his death two decades earlier. What is the name of the owner as it appears in the story?",Mr Bojangles,"Question six is read starting at 21:38:32 and repeated at 21:41:33 and 21:43:34. The answer is provided at 21:44:04. This references the famous song 'Mr. Bojangles' by Jerry Jeff Walker, which tells the story of a vagrant and his dog."
2020,20,7,Fast is fast in any language. What is the first and last name of the athlete who set the national three mile record at 13 minutes 39 7/10 seconds?,Nico Young,Question seven is read starting at 21:44:34 and repeated at 21:47:44 and 21:50:45. The answer is given at 21:50:45. Nico Young set a national three-mile record with this time.
2020,20,8,"A television sitcom character claimed to have been a roadie and a groupie, claiming to work on the road for a British boogie rock band and briefly marrying or having flings with several rock stars, one of which was so obviously smitten with her, she claimed he had her likeness inked into his chest. What is the first and last name of this sitcom character?",Mimi Bobeck,Question eight is read starting at 21:51:15 and repeated at 21:54:46 and 21:56:47. The answer is provided at 21:57:17. Mimi Bobeck is a character from the sitcom 'Drew Carey Show' known for her colorful backstory involving rock musicians.
2020,21,1,"The filmmaker who was the nephew of a Hollywood actor said of his uncle: 'He was much better behaved towards the end. He was still himself. For those people who knew him, he was still a tough guy, but not in jail all the time or anything like that. The people who knew him knew that wasn't all there was to him. He was a wacky, kind of quirky, comical guy and a very nice man to a lot of people.' What is the first and last name of this actor?",Lawrence Tierney,Question one of hour 21 begins at 22:02:49. The question is about an actor whose nephew is a filmmaker and is quoted describing the actor. The question is being set up but the answer is not provided in this transcript chunk. This question continues beyond the provided text. --- Question identified at 22:02:19 as 'question number one of our 21'. The question is repeated multiple times. Answer given at 22:09:51: 'The answer to question one of our 21 is Lawrence Tierney'. This is a straightforward identification of the uncle being referenced in the quote.
2020,21,2,What is the name of the product which included the character in Picture number 20 on the experiment in trivia picture page in promotional displays?,Mountain Dew,Question identified at 22:10:21 as 'question number two Hour 21'. The question is repeated multiple times throughout the segment. Answer given at 22:16:54: 'The answer to question number two is Mountain Dew'. This refers to a character in promotional materials that needs to be identified from the trivia picture page.
2020,21,3,What is the city and newspaper name for which big screen character Torchy Blane worked?,New York Star,"Question identified at 22:20:55 as 'question. Number three hour, 21'. The question is repeated multiple times. Answer given at 22:27:27: 'The answer to Question three is New York star'. Torchy Blane is a classic film character known for working as a reporter."
2020,21,4,"Not all breakfast cereals should be taken at face value. A television character is seen eating a bowl of what appears to be Cheerios. She claims that they were actually Mexican Cheerios, which are regular Cheerios with a sombrero for the letter C. What is the first and last name of this character?",Caroline Channing,Question identified at 22:27:58 as 'question number four hour 21'. The question is repeated multiple times. Answer given at 22:33:30: 'The answer to question number four Hour 21 is Caroline Channing'. This is a reference to the TV show 'The Best Friend' and Caroline's humorous dialogue about fake Mexican Cheerios.
2020,21,5,A snack food is promoted in print advertising with the following claim: 'Dip or no dip their flat out delicious.' What is the brand and name of this snack food?,Snack factory pretzel crisps,Question identified at 22:34:00 as 'Question five hour 21'. The question is repeated multiple times. Answer given at 22:41:02: 'The answer to question number five Hour 21 is snack factory pretzel crisps'. The slogan 'flat out delicious' refers to the flat shape of pretzel crisps.
2020,21,6,"A top five song, the biggest US hit for the band includes whistling at the beginning and end of the song and mentions a stringed musical instrument, which is also referenced in a Beatles song. What is the name of this hit song?",Winds of Change,Question identified at 22:41:32 as 'Question Number six'. The question is repeated multiple times. Answer given at 22:48:13: 'The answer to question number six Hour 21 is Winds of Change'. This is a reference to the Scorpions' 1990 hit song 'Winds of Change' which includes whistling and mentions a stringed instrument (referenced in the Beatles song 'Norwegian Wood' which also mentions a sitar).
2020,21,7,"A former college All American running back got his nickname from a TV announcer. Well in high school, the nickname stuck to the point it usually took the place of his first name when he was referred to by announcers in college and as a pro. After his decorated collegiate career, he was a high NFL draft pick and like a lot of rookies had an inconsistent first season. But early that season broke a long held rookie rushing record set by a former Wisconsin Badger and had enough success late in the season after bouncing back from an injury to be named NFL offensive Rookie of the Year by the same organization that named him a collegiate All American. What is the nickname of this running back?",Cadillac,"Question identified at 22:48:43 as 'question number seven hour, 21'. The question is fully read and repeated, but the transcript ends before the answer is provided. The question is still being read at 22:52:45. This is a reference to an NFL player with a nickname derived from a TV announcer, likely referring to someone like 'Dorsey Levens' or similar, but without the answer explicitly stated in this transcript, I cannot confirm. --- Question 7 of Hour 21 is clearly identified and repeated multiple times in the transcript. The answer 'Cadillac' is explicitly stated at timestamp 22:55:16 with 'The answer to question number seven Hour 21 is Cadillac again.'"
2020,21,8,"A television character claimed that she had a divot in her spine, and if a double A battery is inserted in that divot, her leg will kick. What is the first, middle, and last name of that character?",Amy Farrah Fowler,Question 8 of Hour 21 is identified as the final question of hour 21. The answer is explicitly stated at timestamp 23:00:18 with 'The answer to Question number eight is Amy Farrah Fowler.' This character is from The Big Bang Theory.
2020,22,1,Aspiring actors and actresses are always trying to wiggle their way into studios to get their big break. Several fictional aspiring superstars make their way through the front gates of a studio using dubious methods. The name of the studio is printed in letters above the entrance to the lot. What is the name of this studio?,Carnation or Carnation Studios,Question 1 of Hour 22 is explicitly identified at timestamp 23:06:19 and repeated. The answer is stated at timestamp 23:12:22 as 'The answer to question one hour 22 is Carnation or Carnation Studios.' This refers to the movie Contented Actors.
2020,22,2,"Music and math go together. One songwriter and singer seems to have a knack for statistics. One songwriter apparently keeps statistics on strange things, like guitar cases. He claims that a city has 1352 guitar cases. What is the first and last name of this songwriter and singer?",John Sebastian,Question 2 of Hour 22 is identified at timestamp 23:12:52. The answer is stated at timestamp 23:18:55 as 'The answered a question. Number two is John Sebastian.' This refers to the song 'Summer in the City' by The Lovin' Spoonful's John Sebastian.
2020,22,3,"A big screen character and adopted son invites his biological mother to his wedding. She decides to come to the wedding, as does his adoptive mother, who has been divorced from the adoptive father. The father's girlfriend of eight years ends up catering the wedding reception. What is the name of this movie?",The Big Wedding,Question 3 of Hour 22 is identified at timestamp 23:19:25 and repeated. The answer is stated at timestamp 23:24:57 as 'The answer to question number three Hour 22 is the Big Wedding.'
2020,22,4,"In a television commercial for a nut company, a cute little young girl says the following about one of the company's products: 'the Holy Grail of honey sesame sticks.' What is the name of this young girl?",Tanya,Question 4 of Hour 22 is identified at timestamp 23:25:27. The answer is stated at timestamp 23:31:29 as 'It is Tanya. again. The answer to question number four is Tanya.' This is from a Planters commercial.
2020,22,5,What movie would you be watching if you saw a contortionist helping out in a telethon by playing 'Born to Be Wild' on a violin? Please be specific and complete.,Robocop Two,"Question 5 of Hour 22 is identified at timestamp 23:31:59. The answer is stated at timestamp 23:38:31 as 'The answer to question Number five is Robocop two again. The answer to question number five is Robocop two.' --- Clearly identified at 23:38:01 as 'question number five Hour 22'. The question text is stated clearly, and the answer is explicitly given as 'Robocop two' (transcribed as 'Robocop two'), repeated twice for confirmation."
2020,22,6,A perfect 10 floor routine at the 2019 Collegiate Challenge captured the hearts of many with its energy and the gymnast's bubbly playfulness and incredible flexibility. The routine featured many snippets from rhythm and blues songs. What Grammy Award winning R and B song was featured during the first tumbling run of the routine?,Proud Mary,"Question 6 of Hour 22 is identified at timestamp 23:38:31. The question is fully read but the transcript ends before the answer is provided. No answer found in this chunk. --- Identified at 23:38:31 as 'Questions Six hour, 22'. The question is repeated multiple times throughout the transcript (23:39:01, 23:42:02, 23:45:04). The answer is given at 23:45:34 as 'Proud Mary' and confirmed with 'again. The answer to Question six is proud Mary'."
2020,22,7,What is the name of the fictional cosmetic line created and promoted by television character Sadie Williams?,Defined Yourself,Identified at 23:45:34 as 'question number seven of our 22'. Question text is clearly stated. The answer is given at 23:51:06 as 'defined yourself' and confirmed with 'again. The answer to question seven hours 22 is defined yourself'. Transcription note: 'defined yourself' appears to be the correct transcription of what was stated.
2020,22,8,Go to the Experiment in Trivia picture page and look at picture number nine. What is the name of the rock album which featured this image on the front cover?,Tightly Knit Funds,"Identified at 23:51:36 as 'Question. Eight of our 22'. Question text is repeated at 23:52:06 and 23:55:07. The answer is given at 23:58:08 as 'tightly knit. Funds for experiment in trivia' but this appears to be transcription error - the context suggests 'Tightly Knit Funds' is the album name, though the transcription is somewhat unclear. High confidence this is the intended answer based on context."
2020,23,1,"Sitcom characters Darlene Conner and her love interest Ben began looking for a place for them to rent. One place that they looked at was being vacated by Cyril, who has lived there with his partner, a bird. What is the last name of that bird?",Feather bottom,"Question clearly identified at 8:09:01 as 'question one of our 23'. This is from the TV show 'Roseanne' - Darlene Conner and Ben Healy were characters, and Cyril the parrot from the show is being referenced. However, the answer is not provided in this transcript chunk. The question is read twice for clarity but no answer is given before the music starts. --- Question clearly identified as 'question one of our 23'. Question is repeated multiple times starting at 8:09:01. Answer is given at 8:16:03 as 'Feather bottom'."
2020,23,2,What is the name of the streaming service recently created by NBCUniversal?,Peacock,Question identified as 'question number two of our 23' at 8:16:03. Question is repeated. Answer is given at 8:22:36 as 'Peacock'.
2020,23,3,What is the name of the film in which you would find the following quote: 'You don't want a man for a husband. You want a stomach with legs'?,Undercover Man,Question identified as 'question number three of our 23' at 8:22:36. Question is repeated. Answer is given at 8:28:08 as 'Undercover man'. Note: transcription shows 'Undercover Man' which may be the film title.
2020,23,4,The cover of an amusing 1988 rock record album features a man in overalls holding a cigar standing beside a red lawn tractor. What is the name of this album?,Bielsa Bubba,"Question identified as 'question number four of our 23' at 8:28:38. Question is repeated multiple times. Answer is given at 8:33:40 as 'Bielsa Bubba' or 'B L Z Bubba'. High confidence in hour/question number, moderate confidence in answer transcription due to unusual album name."
2020,23,5,"Although there are many variations, what sauce is created by combining finely chopped basil, minced garlic, grated Parmesan cheese, chopped pine nuts or walnuts, olive oil, salt and pepper?",Pesto,Question identified as 'question number five of our 23' at 8:34:10. Question is repeated. Answer is given at 8:39:42 as 'Pesto'.
2020,23,6,Anyone who plays plenty of board games is familiar with spinners that make a game fun and are a great break from rolling dice. Take a look at picture number 23 on the experiment in trivia picture page. It's a great looking spinner board. What game would you be playing if you were using that spinner board?,The Very Hungry Caterpillar,Question identified as 'question number six of our 23' at 8:40:12. Question references a picture on the picture page. Answer is given at 8:44:44 as 'The very hungry Caterpillar'.
2020,23,7,What is the name of the pacer which most recently won the pacer Triple Crown?,No Pan intended,Question identified as 'question set of an hour 23' at 8:45:14 (likely 'question seven of hour 23' with transcription error). Question is repeated at 8:47:15. Answer is given at 8:50:16 as 'No Pan intended'.
2020,23,8,Fictional baby sitter Susie Glover claims to be a super baby sitter. She has her own app and a utility belt. What is the name of her utility belt?,Sue Tillett E Belt,"Question identified as 'question number eight' at 8:50:46. Question is repeated multiple times. Answer is given at 8:55:18 as 'Sue Tillett E Belt' (possibly 'Susie Little E Belt' or similar, but transcribed as shown). --- Question clearly marked as 'question Number eight of our 23'. Answer given: 'Sue Tillett e belt'. The transcription shows some phonetic spelling but this appears to be the intended answer for the Susie Glover character reference."
2020,24,1,"After nearly the length of an entire feature length action movie, a wife joins her husband working as an agent for the same governmental agency as he. Their first assignment includes them being sent to a party undercover. And while they're dancing a partner dance which originated in the 1880s near the Rio de la Plata, a natural border between Uruguay and Argentina, what is the name of this movie?",True Lies,"Clearly marked as 'question number one of our 24'. Answer is explicitly stated: 'The answer, True Lies' and 'the answer to question number one hour, 24 True Lies'. The clues point to True Lies (tango dance, husband and wife agents)."
2020,24,2,"Political opponents haven't always conducted their campaigns like they do today. Back in the Old West, a campaign for mayor of television's Colorado Springs included the candidate Preston A Lodge the Third. What is the first and last name of his opponent?",Jake Slicker,"Marked as 'question number two of our 24'. Answer is stated: 'Jake, liquor. Jake Slicker is the answer to question number two of our 24.' This references the TV show South Park."
2020,24,3,"A camper is so appreciative of the service that his insurance agent has provided he begins whittling a stick. After a moment or so, the camper pops off a likeness of the agent from the stick and then hands that likeness to the agent. All of this occurs in the length of a television commercial. What is the name of that agent?",Jake,"Marked as 'question number three of our 24'. Answer is stated: 'Jake? The answer to question. Three hour, 20 for Jake.' This is a reference to Jake from State Farm insurance commercials."
2020,24,4,What is the first and last name of the television character who once had a pet monkey named Marcel?,Ross Geller,Marked as 'question for our 24'. Answer is stated: 'Ross Geller? The answer to question. Four hour 24. Ross Geller'. This references the TV show Friends.
2020,24,5,What is the first and last name of the athlete who set the National Hockey League record for NHL postseason goals scored by a United States born player at 61?,Joe Pavelski,"Marked as 'question. Five hour 24'. Answer is stated: 'The answer. Joe Pavelski, Joe Pavelski. The answer to question number five of our 24'."
2020,24,6,"Team Umi Zoo Mi in their quest to find the stomping feet use bot's radar to find their prey. When located, they need to get to that location and call Umi Car. Where does Umi Car take them to find the stomping feet?",Aquarium,Marked as 'Question six hour 24'. Answer is stated: 'Aquarium. The answer to question number six Hour 24. Aquarium'. This appears to reference an animated show.
2020,24,7,"Some songs find themselves back on the radio long after a successful first release by an original artist. Some find timeless exposure in a seemingly endless well of YouTube cover videos. Some songs have experienced both. Name the song that originally hit number one in 1983, recently hit 51 after being rerecorded by another group, and has been covered on YouTube many times, including by performers squeezing a rubber chicken and controlling electrical discharges.",Africa,"Marked as 'questioned Seven Hour 24'. Question is read multiple times but the answer is not provided in this transcript chunk. The song appears to be 'Mr. Sandman' based on the clues (1983 hit, YouTube covers with rubber chicken and Tesla coils), but this is not explicitly stated in the provided text. --- Question is identified as 'question number seven of our 24' at timestamp 9:40:03. The answer 'Africa' is explicitly stated at 9:47:05 as 'The answer. Africa' - this is the song by Toto from 1983. The rerecording reference is to the 2018 version by Weezer that hit number 51, and the YouTube covers reference the famous versions with rubber chicken and Tesla coil performances."
2020,24,8,"Sometimes a person has to strike out and try to make it big in their dream career. A fictional comedian Joey Gladstone, after 10 years doing local nightclub comedy, decides to try his hand on television Star Search. What is the first and last name of the entertainer who defeated comedian Joey Gladstone when he appeared on Star Search?",Steve Oedekerk,"Question is identified as 'question number eight of our 24' at timestamp 9:47:35. The answer 'Steve Oedekerk' is explicitly stated at 9:54:38. This references the TV show 'Full House' where Joey Gladstone is a fictional character, and the Star Search episode from the show."
2020,25,1,"It's time to look at picture number 16 on the experiment in trivia picture page. What is the rock album, which included the characters in picture number 16 on the front cover?",Fantastic Plastic,Question is identified as 'question one of our 25' at timestamp 9:59:40. The answer 'Fantastic Plastic' is stated at 10:05:12. This refers to 'Fantastic Plastic Machine' album or similar. The answer is preceded by 'the album Fantastic Plastic' at 10:05:12.
2020,25,2,"Literary character Joe Rick Rickman was quite fond of his pet dog. He loved his dog, even though it was an ominous dog, a Rottweiler, quick to growl when a possible threat to his master was near. What is the name of Rick's dog?",Ajax,Question is identified as 'question to our 25' at timestamp 10:05:42. The answer 'Ajax' is explicitly stated at 10:12:44. This is from a literary work featuring a character with a Rottweiler named Ajax.
2020,25,3,"A woman is on a dance type arcade machine and is constantly told by a loud, booming voice 'Perfect.' She then is seen walking down the street and jumps over a small puddle and the voice booms out 'Perfect.' She then clears off a counter, sweeping everything onto the floor and puts a cactus in a pot with a hat, eyes and lips onto that counter. Then she bumps past another jogger. Then she pushes and kicks closed three file cabinet drawers. Again, the booming voice says 'Perfect.' What is the name of the establishment being promoted in this commercial?",Dave and Buster's,Question is identified as 'question number three hour 25' at timestamp 10:12:44. The answer 'Dave and Buster's' is explicitly stated at 10:19:47. This describes a classic Dave and Buster's commercial with the 'Perfect' voice-over.
2020,25,4,"What is the brand variety of snack food, which underwent a change of recipe in 1992 purportedly to reduce signature bad breath associated with eating that product? Please be specific.",Nacho Cheese Doritos,"Question is identified as 'question four hour 25' at timestamp 10:20:17. The answer 'Nacho cheese, Dorito' (stated as 'Nacho Cheese Doritos') is given at 10:25:49. The question asks for specificity about the brand and flavor of the snack that reduced bad breath odor in 1992."
2020,25,5,"A fictional criminal organization, one whose leader had not appeared by name and on screen in a film in over four decades, was featured in a 2015 award winning film. The film was part of a series of films. What is the complete name of the leader of the criminal organization as it appears in the 2015 film?",Ernest Stavro Blofeld,Question is identified as 'question five hour 25' at timestamp 10:25:49. The answer 'Ernest Stavro Blow Field' (correctly spelled Ernst Stavro Blofeld) is stated at 10:31:51. This references the James Bond villain who appeared in the 2015 film 'Spectre' and had not appeared on screen in over 40 years before that film. --- Question clearly stated at 10:28:50 as 'question number five Hour 25'. Answer given at 10:31:51 as 'Ernest Stavro Blofeld'. This refers to the James Bond villain from the 2015 film Spectre. The transcription has 'Blow Field' which should be 'Blofeld'.
